Div,Branch,OAM,UpdateDate,LeadType,LeadSpecifics,Customer,Type,New,"City, St",ProjectOpportunity,KeyVendor,TechnologiesServices Proposed,PotentialValue,ProbPercent,CustomerCompelingEvent,Stage,YourNextBIGStep,ExpectedOrderDate,Notes
1M,Midland,Jeramie Bartlett,5/21/2020,Customer,Customer Request,CP CHEM,End User,Existing Cust,"Borger, TX",H2S Split body valve replacement,ME ,Jamesbury 7300 ball valves/ on/off,"$300,000",40%,Had a failure of split body valve. ,Working,Working with maintenance manager to finalize list to quote.,7/30/2020,Still in Phase 1 of valve identifying.  
1M,Midland,Jeramie Bartlett,5/21/2020,Customer,Current Customer - RFQ from customer,Hydrite ,End User,Existing Cust,"Lubbock,Tx",Hydorchloric Acid Rail update,ME ,Vpvl actuators and Stonel limit switches assembled Xomox plug valves,"$150,000",40%,"Plastic valves were failing, needing to replace with a lined CS valve.",,Size actuators and quote complete assemblies.,6/30/2020,Waiting for toque values on plug valves.
70,OKC,Scott Hines,5/22/2020,Customer,Asked them to quote,Applied Industrial Technologies,OEM,Existing Cust,"Cleveland, OH",Bussmann convert to Mersen,FS,Mersen fuses,"$30,000",50%,VMI of Phoenix going well-next row over,Discovery (S.P.I.N.),get file from them,10/21/2020,Need to set up teleconference w/ Rodney Davis-AIT;  5/22-Rodny said to get with Matt Pavlinski
70,OKC,David Snuggs,5/14/2020,Customer,Purchasing,Phoenix Electric,Contractor,Existing Cust,"OKC, OK",Updating Network Grid,SC,Siemens Distribution,"$3,000,000",80%,AWC extended terms to them from the start,On Hold,Orders,,Delayed because of Covid
70,OKC,Greg Ellis,5/14/2020,Customer,customer request,Rigid Automation,Integrator,Existing Cust,"Norman, Ok",molded cable assemblies and TosiBox,"Remke, TI",molded cables and TosiBox remote access,"$100,000",65%,AWC extended terms to them from the start,Quoting,showing end user,,
70,OKC,Scott Hines,5/12/2020,Customer,Asked them to convert,World Water Worlds,OEM,Existing Cust,"OKC, OK",Converting Crouse-hinds to Appleton,AP, Powertite ,"$20,000",90%,Vendor consolidation/pricing,Quoting,Testing product,5/28/2020,Quoting all electrical products from this opportunity as well.
70,OKC,Scott Hines,5/22/2020,Vendor,Engineering Dept,ReelPower,OEM,Existing Cust,"OKC, OK",Converting power supplies,SC,power supplies,"$35,000",70%,"Need more amperage and reduce, costs we are providing solution based on these requirments",Quoting,sample next size,6/20/2020,Get w/ Hal to make sure we are the vendor for the 5A power supply. 5/22-send email reminder  & quote to Hal.
70,OKC,David Snuggs,5/14/2020,Customer,Engineering Dept,Baker Hughes,OEM,Existing Cust,"OKC, OK",Automating Process,PX,PLC Logic +,"$30,000",100%,Developed unique solution/wrote software,Won,delivering first order,5/31/2020,
70,OKC,Greg Ellis,5/14/2020,Customer,customer request,DCP Midstream,End User,Existing Cust,"Alex, OK",soft ware upgrade,SC,software,"$125,000",75%,Engineering help w/ upgrade,Won,engineering,5/28/2020,
70,OKC,Greg Ellis,5/14/2020,Customer,new offering of product,Filtration Group,OEM,Existing Cust,"Nowata, OK",zone rated terminal boxes,Abtech,terminal boxes,"$100,000",80%,Process customer who knows AWC,Won,delivering first order,5/14/2020,
70,OKC,David Snuggs,5/22/2020,Customer,Engineering Dept,Baker Hughes,OEM,Existing Cust,"OKC, OK",New Gen Drive,"SC, MX",Siemens Distribution,"$1,500,000",70%,GE no longer owns BH/used in the past,Working,Project timeline,12/31/2020,May get pushed to next year because of Covid & Oil
70,OKC,David Snuggs,5/22/2020,Customer,Engineering Dept,Devon,End User,Existing Cust,"OKC, OK",Energy Monitoring,PX,Energy monitors ,"$50,000",75%,Automate a manual process,Working,testing product,7/31/2020,
70,OKC,David Snuggs,5/14/2020,Customer,Engineering Dept,Valiant,OEM,Existing Cust,"Norman, Ok",Process,OT,Pressure transmitters,"$50,000",50%,,Working,complete crosses,6/3/2020,
70,OKC,Greg Ellis,5/14/2020,Customer,customer request,IDEX Corp,OEM,Existing Cust,"OKC, OK",meter enclosures,AE,IXHB enclosures,"$20,000",65%,,Working,testing product,,
70,OKC,Greg Ellis,5/14/2020,Customer,customer spoke of a problem,PEC,End User,Existing Cust,"Ada, Ok",TosiBox communications,TI,TosiBox remote access,"$65,000",80%,,Working,Testing product,,
70,OKC,Scott Hines,5/14/2020,Customer,Festo Joint Effort,Burford,OEM,Existing Cust,"OKC, OK",Converting SMC to Festo ,FO,"pneumatic valves, cylinders, filtration","$65,000",75%,Festo working w/ their corporate & giving rebate,Working,complete crosses,7/8/2020,Finished all of the fittings & cylinders;  working valves & FRL's
70,OKC,Scott Hines,5/14/2020,Customer,VMI Expansion,Osco,OEM,Existing Cust,"OKC, OK",ABB products,AB,breakers,"$20,000",60%,Vendor consolidation/pricing,Working,quote ,6/15/2020,Need to make joint call w/ Travis Pettyjohn 
70,OKC,Scott Hines,5/22/2020,Customer,Engineering Dept,ReelPower,OEM,Existing Cust,"OKC, OK",Parker to Festo Crossover,FO,"pneumatic valves, cylinders, filtration","$60,000",80%,"Better deliver, service, price",Quoting,Getting the fittings and tubing,6/10/2020,Ask David Laswell if we can do the fittings as well.  Whole machine Festo.
70,OKC,Scott Hines,5/22/2020,Customer,Engineering Dept,ReelPower,OEM,Existing Cust,"OKC, OK",SMS electric actuator,FO,electric actuator,"$35,000",20%,upgrade exisiting pneumatics,Solution Development,Show sample actuator and find out where we can specify,8/20/2020,Need to set up meeting with Joshua to demo unit.
70,OKC,Scott Hines,5/22/2020,Customer,Engineering Dept,DaPro Rubber,OEM,Existing Cust,"Tulsa, OK",Nook gantry system,PN,gantry ,"$15,000",90%,Has used Nook in the past/likes,Discovery (S.P.I.N.),Visit customer site and develop idea,6/15/2020,Meeting Brian Shubitoski 5/27 to review idea
70,OKC,David Snuggs,5/22/2020,Customer,Purchasing,GPS,Contractor,Existing Cust,"Shawnee, OK",Drive Filter,TCI,Filter,"$40,000",60%,Drive gets approved,Confirming application,Waiting ,6/15/2020,
70,OKC,David Snuggs,5/22/2020,Customer,Engineering Dept,Tinker,End User,Existing Cust,"OKC, OK",Motor & Drive,Siemens,Motor & Drive,"$7,500",100%,Place order,Won,,5/20/2020,
1S,San Antonio,Andy Horn,5/22/2020,AWC Internal,Working to help consolidate Software or convert to Enterprise,Caterpillar,End User,Existing Cust,"Seguin, TX",Software License Upgrade,SC,PLC Software,"$70,000",50%,Cat has many license's to keep up with and many computer failures where they loose license.  Moving to Siepro or Enterprise would help combine all upgrade/SUS in on payment and if the move is to the Enterprise License it would remedy the lost runtime license problem they have,Working,Cat is gathering the amount of licenses they have to determine how many upgrades need to be purchased before the decision is made.,7/1/2020,"Working with Cat to figure out if they want to go Enterprise with their license or just put on a Siepro, regardless there will be upgrades bought for at least 33 seats(5-13-22).  Project is still in que but has other projects ahead of it (5-22-20)."
1S,San Antonio,Andy Horn,5/22/2020,AWC Internal,Internal Cat relationship lead ,Caterpillar,End User,Existing Cust,"Seguin, TX",Small Line Upgrade,"SC, FE","Siemens 200 Eco Block, Festo valve manifold (potential cross from SMC)",working on now,?,Customer needs an IP67 rated manifold and connection blocks to withstand the enviroment.,Discovery (S.P.I.N.),Finalize the design and BOM for project,7/1/2020,Working on this new opportunity now.  Will update once I have completed the quote (5-13-20).  This project has been quoted and Cat is determining start date (5-22-20).
1S,San Antonio,Andy Horn,5/22/2020,AWC Internal,Internal CGT Relationship lead,CGT,End User,Existing Cust,"New Braunfels, TX",Vibration Monitoring Solution,BN,Vibration Kit/Installation Support,"$20,000",50%,"CGT had a motor burn up, this added technology would have alerted them to the problem",Working,"Follow up to determine when the funds will be released, have already proved out with demo unit",8/1/2020,"Was working this opportunity until COVID hit, talked with Dylan today and he said it is behind a couple projects now and may get funding around August (5-13-20).  No change(5-22-13)."
1S,San Antonio,Andy Horn,5/22/2020,Customer,Water site needing SCADA,Curl Industries,Contractor,Existing Cust,"New Braunfels, TX",Water Site SCADA,Mission Comm,Installing the M852 ,"$8,000",50%,Need for remote monitoring and added reporting,Quoting,Work with the contractor to help answer all questions as well as offer a demo unit supplied by Mission Communications.,8/1/2020,Quoted Johnny a package to for a local municipal site (5-13-20).  No change (5-22-20).
1S,San Antonio,Andy Horn,5/22/2020,Customer,Water site needing SCADA,Curl Industries,Contractor,Existing Cust,"Poth, TX",Water Site SCADA,Mission Comm,Installing the M852 ,"$8,000",50%,Need for remote monitoring and added reporting,Quoting,Work with the contractor to help answer all questions as well as offer a demo unit supplied by Mission Communications.,8/1/2020,Quoted Johnny a package to for a local municipal site (5-13-20).  No change (5-22-20).
1S,San Antonio,Andy Horn,5/22/2020,Vendor,Siemens helped cross from Eaton,HEB,End User,Existing Cust,"San Antonio, TX",New Store Builds and ATS,SC,"Switchgear, PLC's","$500,000",50%,AWC has covered these projects for the last two years and can help the contractors manuever through the HEB process,Working,To find out who the contractors are for the upcoming stores and contact them.  Have already reached out to HEB to find out who they are.  Awaiting their reply,7/1/2020,These are two new stores coming up in Austin.  We do not quite know how these are going to play out due to HEB change in procurement (5-13-20).  Projects have not been released for bid yet.  I have reached out to Contractors on one job and am working with HEB for contacts for the other location (5-22-20).
1S,San Antonio,Andy Horn,5/22/2020,Vendor,Lead from Siemens on Beltscales needed for a project,Integrated Shredder Technology,OEM,New Cust,"San Antonio, TX",New Belt Scales ,ST,Weighing Technologies,"$10,000",50%,"New project, adding a scale to existing plant...",Quoting,"IST has bid the job, I will follow up to see if they have secured the project",8/1/2020,Quoted a couple scales for an upcoming project.  
1S,San Antonio,Andy Horn,5/22/2020,Customer,Customer lead,P&S Scale,Contractor,Existing Cust,"San Antonio, TX",Weigh Scale Job,ST,Belt Scales,"$21,000",75%,"new build, add on to existing plant",Won,Order being placed,5/15/2020,Quoted back in Jan. was asked to renew quote due to customer approval.
1S,San Antonio,Andy Horn,5/22/2020,AWC Internal,Helped quote and go over spec for a PLC Opportunity,SWRI,End User,Existing Cust,"San Antonio, TX",PLC,SC,PLC,"$10,000",95%,customer needed support so our team was the compeling event to go siemens.,Won,Order Placed,5/15/2020,Quoted a PLC for an upcoming project.  Should know pretty soon.
1S,San Antonio,Andy Horn,5/22/2020,Customer,New Panel build for Nustar,Encino,Integrator,Existing Cust,"San Antonio, TX",Panel Build,"RT, PX",New control panel,"$10,000",80%,New build for Customer,Quoting,"Material was quoted, will follow up on the quote.",5/25/2020,"Customer has already purchased the TS8 enclosure, panel materials to come."
1S,San Antonio,Jacob Burleson,5/22/2020,Colleague,Kyle Bordelon developed the relationship with AGI while he was at Metso,AGI,OEM,Existing Cust,"San Antonio, TX",Control Valve Automation,JV,Valvcon Actuators,"$300,000",50%,AGI has standarized on Valvcon Actuators for their Hydroplex control valve line,On Hold,Bring in inventory to support customers and avoid long lead times,11/1/2020,The price of oil has played a role in reduction of frequency of orders
1S,San Antonio,Jacob Burleson,5/22/2020,Prospecting,Found customer from Google Search,Alterman,Integrator,New Customer ,"San Antonio, TX",Panel components,PX,"PS, networking, TBs","$200,000",75%,Alterman wasnt getting the support and pricing they were needing from their previous supplier.,Working,Be very involved in the consignment in the beginning to make sure that it gets off to a smooth start.,10/1/2020,Implemented Consignment inventory at Alterman to displace wago and get phoenix specified on Alterman panel builds
1S,San Antonio,Jacob Burleson,5/22/2020,Customer,Existing Customer relationship,BWDG,Integrator,Existing Cust,"San Antonio, TX",PS and UPS Project,SC,"Power Supplies, UPS, ATS","$75,000",50%,Customer was losing product do to power loss,Discovery (S.P.I.N.),We have provided a proposal and awaiting customer to confirm specs,8/1/2020,Customer is looking to add a NG generator along with ATS to keep plant running during power outages.  Also will all redundant PS and panel UPS to help maintain power during switch to back up generator
1S,San Antonio,Jacob Burleson,5/22/2020,Colleague,Relationship with contact from his previous company,Colexas Digital,Integrator,New Customer ,"San Antonio, TX",MQTT and Scada hardware,SC,IPCs,"$50,000",50%,Colexas is looking for a hardware solution that will communicate with many different controllers.  The previous way they operated was very labor intensive and consuming too much time.,Discovery (S.P.I.N.),Follow up on discussions we have had and see if a demo unit is neccesary,6/1/2020,Colexas is an integrator focused on Scada projects.  They currently use ignition as a Scada back bone and are looking for solutions to get MQTT data back to the gateway.
1S,San Antonio,Jacob Burleson,5/22/2020,Customer,Existing Customer relationship,NYATI Services,Integrator,Existing Cust,"Corpus Christi, TX",Dehy MCCs,SC,MCCs,"$120,000",50%,NYATI needed to provide a cost effective solution,Working,Provide pre-sales support to ensure we get the PO,7/1/2020,Quoted Siemens MCC to NYATI for a customer that is providing dehydration pumping packages oversees.
1S,San Antonio,Jacob Burleson,5/22/2020,Customer,Existing Customer relationship,Quest Automated,Integrator,Existing Cust,"San Antonio, TX",Remote IO,TU,Remote IO,"$50,000",50%,Quest was looking for an effective solution to bring back HART information in a small PLC,Working,Hold a web conference with ADC to help John with the demo unit.,10/1/2020,Quest was looking for a cost effective way to create a HART gateway to communicate with a small PLC.
1S,San Antonio,Jacob Burleson,5/22/2020,Vendor,OleumTech provided lead,Texas Gas Measurement Services,Integrator,New Customer ,"San Antonio, TX",Pad Site Automation,OT,Wireless Instrumentation,"$45,000",50%,Customer was looking to reduce install cost for his pad site automation.,On Hold,We have won the project but it has been placed on hold due to the price of oil.,7/1/2015,OleumTech provided a lead for an integrator to perform a site install.  TGMS said the pricing is good.  Just waiting for the end user go ahead before purchasing.
1S,San Antonio,Jacob Burleson,5/22/2020,Vendor,ADC Provided me with the opportunity,Toyota,End User,Existing Cust,"San Antonio, TX",AGV Traffic control,BN,Wireless  ,"$20,000",75%,"Toyota had no visibilty at pinch points of AGVs (safety), ADC/AWC designed the solution",Quoting,We have recieved a PO for the pilot project.  Expected to do an install the second week of June,7/1/2020,Toyota is looking to add traffic indication at pinch points in the plant to monitor the AGVs.  The first order will be for a pilot and if successful will be implemented throughout the facility.
1S,San Antonio,Jacob Burleson,5/22/2020,Customer,Existing Customer relationship,Twilight Services,Integrator,Existing Cust,"San Antonio, TX",Pad Site Automation,"SE, SC",Automation and Electrolab Instrumentation,"$50,000",75%,"Ongoing Padsite orders, we help them specify the technologies",Quoting,Should be recieving PO week of 5/25 for another site that needs to come online,6/5/2020,Twilight has a location in the Eagleford that is on schedule to be completed soon.  
1S,San Antonio,Jacob Burleson,5/22/2020,Customer,Existing Customer relationship,Twilight Services,Integrator,Existing Cust,"San Antonio, TX",Wellhead pressure trending,OT,OleumTech DH3 for data logging,"$15,000",25%,Customer was needing a cost effective solution to log wellhead pressures,Quoting,Provide techinical documentation on the solution,7/1/2020,AWC Came up with a solution to monitor and trend wellhead pressure with off the shelf components
1S,San Antonio,Jacob Burleson,5/22/2020,Vendor,Existing Customer that reached out to Electrolab for a solution,Sentry Technologies,Integrator,Existing Cust,"San Antonio, TX",Tank farm wireless tank level measurement,SE,Electrolab wireless level sensors,"$60,000",50%,The customer was looking for a solution to add tank level measurement without have to run conduit and pull wire.,Quoting,We provided a quote to Sentry technologies for the solution we discussed.  At this point we are on stand by to answer any technical questions the end user may have.,7/1/2020,Sentry Technologies is supplying a wireless tank level monitoring solution to a customer that is looking to have inventory management of his fluids without having a large capitol expenditure.
1N,Houston NOV,David Wagner,5/21/2020,Vendor,Sales lead fom Lonnie Barker with Siemens Instrumentation,Alliance OGP,OEM,Existing Cust,"Houston, TX",well services skid package,"ST, Babbitt",level transmitters & SSAC system integration,"$30,000",75%,"Project requirements for level system, they need a packaged solution, that we can offer with SSAC",Quoting,Confirm design & BOM,6/30/2020,SSAC: custom panels 
1N,Houston NOV,David Wagner,5/21/2020,Customer,Customer asked about being able to upgrade the MasterDrives,NOV - AFE,OEM,Existing Cust,"Houston, TX",MasterDrive migration to S120,SC,Drives and services (Siemens Customer Service),"$150,000",75%,Their customer does not want the change to the ABB drive so they asked NOV to provide a migration path from the MasterDrives to the S120,On Hold,Follow up to see if the hold has been released,6/30/2020,NOV's customer put the project on hold due to the oil prices
1N,Houston NOV,David Wagner,5/21/2020,AWC Internal,Met with NOV to offer an upgrade option for the Siemens MasterDrives,NOV - Bammel,OEM,Existing Cust,"Houston, TX",MasterDrives spares - one time buy,SC,Drives and services (Siemens Customer Service),"$100,000",75%,They buy a lot of MasterDrive spares which Siemens will stop selling after 10/1/20,Discovery (S.P.I.N.),Review the shipment credit report,9/30/2020,Gathering the info now
1N,Houston NOV,David Wagner,5/21/2020,Customer,Customer asked David on helping to update existing consoles,NOV - Brandt,OEM,Existing Cust,"Conroe, TX",Pnuematic consoles for shakers,RT,Custom built consoles,"$20,000",99%,NOV closed their UK manufacturing location and moved the manufacturing to Conroe and they wanted buy from a trusted partner,Working,Follow up to see when the other consoles will be released,7/15/2020,First of (5) consoles projected for this year
1N,Houston NOV,David Wagner,5/21/2020,Vendor,Joint call with Lonnie Barker with Siemens,NOV - PCG,OEM,Existing Cust,"Houston, TX",Subsea pressure control,ST,Clamp-on flowmeters,"$40,000",80%,Have issues with Flexim and get better product & service results using Siemens & AWC,Quoting,Check on status of quote,6/30/2020,
1N,Houston NOV,David Wagner,5/21/2020,Customer,Customer request,Powell,OEM,Existing Cust,"Houston, TX",Custom cabinets,RT,Custom built cabinets,"$50,000",50%,Having issues with their current Rittal supplier so they wanted to see if AWC could provide thier custom cabinets instead,Quoting,Check on status of quote,6/30/2020,They want to possibly replace their existing RT supplier
1N,Houston NOV,David Wagner,5/21/2020,Customer,Customer request,Transocean,End User,Existing Cust,"Houston, TX",DD3 anchor winch project,"SC, FE",System integration & project management,"$71,000",75%,"Having issues keeping their anchor winches cooled down on the rig, so they wanted AWC & SSAC to provide a cooling system",Quoting,Check on status of quote,6/30/2020,SSAC: custom panels; valve assemblies
1N,Houston NOV,David Wagner,5/21/2020,Customer,Customer request,Transocean,End User,Existing Cust,"Houston, TX",DARIC DAT,AWC,DARIC new installation,"$133,000",99%,"When they reduced the number of engineers, they needed someone to install and manage their remote data acquisition system on their rigs",Quoting,Follow up on offshore PO,6/5/2020,BOM + onshore + offshore
1N,Houston NOV,David Wagner,5/21/2020,Customer,Customer request,Transocean,End User,Existing Cust,"Houston, TX",DARIC DTN,AWC,DARIC new installation,"$133,000",99%,"When they reduced the number of engineers, they needed someone to install and manage their remote data acquisition system on their rigs",Quoting,Follow up on offshore PO,6/5/2020,BOM + onshore + offshore
1N,Houston NOV,David Wagner,5/21/2020,Customer,Customer request,Transocean,End User,Existing Cust,"Houston, TX",Service Level Agreement,AWC,Service support contract for network and database on rigs,"$560,000",99%,They need 24/7 support for the DARIC system and their current SLA provider is not working out,Working,Submit hours for May,7/1/2020,$140K/qtr; ongoing contract
1N,Houston NOV,Julie Hope,5/21/2020,AWC Internal,Asked Elgin if we could have a shot at converting over controls business and the Tango BOM,Elgin Separation Solutions,OEM,Existing Cust,"Stafford, TX",Tango Systems,"SC, RT, BN","Kitting - Siemens, Rittal, Banner","$200,000",75%,"Bringing panel shop in house and want to standardize on Siemens components since they already use Siemens motors, VFDs, and instrumentation for Tango projects",On Hold,Send William more Siemens training class opportunities,7/15/2020,AWC will be awarded project but on hold
1N,Houston NOV,Julie Hope,5/21/2020,Customer,Customer request,Custom Control,Integrator,Existing Cust,"Houston, TX",Remote 1500 HVAC System,"SC, RT","Siemens PLC, HMI, Controls","$50,000",75%,Customer wants remote access and more programming power than the LOGO can handle,On Hold,Continue having Siemens trainings with Steve. Submit for more aggressive pricing with the factory to make the new design more competitive,10/1/2020,AWC will be awarded project but on hold
1N,Houston NOV,Julie Hope,5/21/2020,Customer,Customer request,NOV,OEM,Existing Cust,"Houston, TX",Max Factory Condition Monitoring,"MX, PX, RT",Kitting - Moxa UC-8200s,"$150,000",75%,NOV has standardized on Moxa for their IIoT projects and is focusing on condition based monitoring for internal BUs,On Hold,Continue to have bi-weekly check-ins about project and come up with new kits depending on application,8/15/2020,
1N,Houston NOV,Julie Hope,5/21/2020,Customer,Customer request,Absolute Control,OEM,Existing Cust,"Houston, TX",Smart Trailer Upgrades,"SC, ST","Kitting - Siemens (SC/ST), Phoenix, Rittal, Turck","$120,000",75%,Have issues purchasing from several different vendors/Vega has had lead time issues with guided wave radars and Siemens can deliver,On Hold,Convert PF to Turck and follow up with what else we can help with in the newer designs of the Smart Trailers and PRLS,8/15/2020,Ordering in pieces for time being
1N,Houston NOV,Julie Hope,5/21/2020,Vendor,Lead was originally passed on by Lindsey Long with Adalet,Lee Engineering,Contractor,Existing Cust,"Houston, TX",Gbaran Ubie JBs,AE,Adalet custom junction boxes for Shell project,"$100,000",75%,Lindsey and I put together a proposal based on limited information to meet specs and scope for Shell project whereas a lot of other suppliers no bid the project,Working,Work with Lindsey to get and send Adalaet Shell approval ID so project can move forward in Nigeria,6/30/2020,"Original proposal ~$500,000"
1N,Houston NOV,Julie Hope,5/21/2020,Vendor,Customer but Trish Viviano from Siemens notified us of the bid and potential MCC opp,City of Houston,End User,Existing Cust,"Houston, TX",COH Ground Water/Re-Pump Station/HVAC,SC,Siemens MCCs,"$50,000",25%,N/A,Lost (why?),N/A,9/15/2020,Got involved with the bid too late - will work with John B and Robert W earlier on the next opportunity and get more involved with contractors
1N,Houston NOV,Julie Hope,5/21/2020,Customer,Customer request,RAE Engineering,OEM,Existing Cust,"Houston, TX",IR Heater and Blast Frames,SC,"Kitting - Siemens failsafe PLCs, HMIs, controls","$150,000",75%,Have issues with items not ordered through AWC and some of the longer lead time Siemens items. Want to kit everything under one part number for different systems,Working,Complete BOM conversions with new additions for kit proposals,6/30/2020,Ordering loose components now but trying to move them to kits
1N,Houston NOV,Julie Hope,5/21/2020,Vendor,Brought in to account by Lynn Lambert with Siemens,Lone Star Blower,OEM,Existing Cust,"Houston, TX",Local & Main Control Stations,"SC, RT, BN","Kitting - Siemens, Phoenix, Rittal","$200,000",50%,Moving production from China to USA; I have helped cross over existing BOMs with engineers and secured aggressive pricing,Working,Schedule introduction with Kent. Review platform status with Jim in early July,7/15/2020,Spoke to Jim today - will be ready to meet in early to mid July to look at getting the Siemens platform added to their systems
1N,Houston NOV,Julie Hope,5/21/2020,AWC Internal,Reached out to customer and asked about current projects,Valaris,End User,Existing Cust,"Houston, TX",F&G Panel / Networking & SCADA,Siemens,SCALENCE switches/site survey options/SCADA packages,"$50,000",50%,Lots of Siemens on existing rigs that will need support for security updates and software/hadrware upgrades,Discovery (S.P.I.N.),Call Kevin and Edwin next week with Lynn to touch base on where we left off to get the scope of what they're looking for on a site visit by Siemens,8/1/2020,
1N,Houston NOV,Julie Hope,5/21/2020,AWC Internal,Asked engineers about upcoming projects,NOV,OEM,Existing Cust,"Houston, TX",Cactus projects for Middle East,RT,Rittal TS8s,"$100,000",75%,Customer has spec'ed in and standardized on Rittal cabinets,Working,Review Cactus project with new 529 director next week,7/15/2020,"These are older, repeat project. NOV Rig doesn't have a lot of new projects. Spec'ed in some Turck barriers for same customer and working on spec'ing in some NPort 5430's. Also working to convert wireduct business for VMI and all new projects"
1N,Houston NOV,Julie Hope,5/21/2020,Vendor,TEC Sales,Windlass ,OEM,Existing Cust,"Houston, TX",Stahl enclosures for Remote Control Panels,Stahl,Stahl enclosures and controls/assemblies,"$20,000",50%,Looking at alternative options to current enclosures; driven by cost in this case so we have submitted for special pricing,Quoting,Conference call with Tarun next week to review quotes and assembly options,7/1/2020,Leading with Stahl but checking to see what else we can offer
1N,Houston NOV,Julie Hope,5/21/2020,Vendor,Lead came over from Stacy Gonzalez with Siemens,Thrustmaster,OEM,Existing Cust,"Houston, TX",PowerBooster,Siemens/Rittal,"SC 1500, TP1500, PS & Rittal TS8s","$150,000",75%,Helped customer with new design to spec in Siemens,Working,Reach out to Paul with Stacey next week to get status update and patent update. Call Brad with Jarrett to check in on enclosure side of proejct,7/1/2020,"Customer has ordered first Siemens BOM, just waiting on project to move forward but they've been having success. Trying to get Rittal spec'ed in as they used a local steel company last time and cut them in house and it didn't go well"
13,Corpus Christi,Darren Ripple,5/19/2020,AWC Internal,Meeting with VATS and TA group,Flint Hills Resources,End User,Existing Cust,"Corpus Christi, Tx",January 2021 CAT ALKY Units Turn Around ,"JV, FV, AWC IPM","Valve, PSV","$225,000",75%,Previous wins with AWC ,Quoting,Receive all tags/documentation to be included in TA,10/1/2020,5/19/20: TA Pushed back from 10/1/20 to 1/15/2020 Quiting TA Planner to perform work in shop as an option rather than the field with trailer 
13,Corpus Christi,Darren Ripple,5/20/2020,Customer,Identifying Honeywell transmitter Problems/replace with Siemens ,Formosa,End User,Existing Cust,"Point Comfort, Tx",Siemens Transmitter WHSE Stock,ST,Pressure P320,"$57,000",85%,Better product than Honeywell and recent transmitter issues,Quoting,"Quoted, follow up with customers to get their feedback",7/15/2020,5/20/20: Justin Wang
13,Corpus Christi,Darren Ripple,5/20/2020,AWC Internal,Introducing Customer to FES (Farris Engineering Services),Invista,End User,Existing Cust,"Victoria, Tx",Pilot PSV Conversion ,FV,PSV,"$200,000",95%,Over 75% install base of Farris PSV's ,Quoting,FES confirming drawings ,6/15/2020,5/20/20: Following up on FES to confirm drawings
13,Corpus Christi,Darren Ripple,5/20/2020,Colleague,Govind (EPC) brought us in on this project,Flint Hills Resources,End User,Existing Cust,"Corpus Christi, Tx",#3 PARAX Phase 2,FV,PSV,"$53,000",75%,"Great Realationship with Govind, FHR, and AWC",Quoting,Submit drawing to Govind for internal review,7/15/2020,5/20/20: If we move to phase 3 will  get this order
13,Corpus Christi,Darren Ripple,5/20/2020,Customer,Customer came to us for Enclosures ,Formosa,End User,Existing Cust,"Point Comfort, Tx",Terminal Enclosures,AE,Adalet Enclosures,"$24,700",50%,Success on recent projects,Quoting,Provide Daniela drawings of layout,7/30/2020,5/20/20: Daniela Loya
13,Corpus Christi,Darren Ripple,5/19/2020,Prospecting,Calling on customer explaining AWC's capabilities ,Seadrift Coke,End User,Existing Cust,"Seadrift, Tx",June 2020 Turn Around ,"JV, FV, CI, AWC IPM","Valve, Farris PSV, Cashco Tank Vents, IPM Service","$250,000",100%,Faster response compaired to compitition ,Won,Provide Customer Ship dates/tracking for new valves,6/15/2020,"5/19/20: TA Starting Middle of June ending end of June, Providing list of new valves and ship dates/tracking numbers"
13,Corpus Christi,Darren Ripple,5/19/2020,Prospecting,Introducing AWC's mobile services to FHR,Flint Hills Resources,End User,Existing Cust,"Corpus Christi, Tx",FHR Port Docks Testing ,AWC IPM,IPM Service,"$45,000",100%,Faster response compaired to compitition ,Won,Gather all test reports and provide to VAT/Invoice,5/29/2020,5/19/20: Test Only all PSV's on FHR Port Docks in Ingleside 60 Valves
13,Corpus Christi,Darren Ripple,5/20/2020,AWC Internal,Reached out to customer in regards to Metso,Formosa,End User,Existing Cust,"Point Comfort, Tx",Spare Assemblies CFB Unit,"JV, NE",Neles Metal Seated Butterfly ,"$40,000",75%,Need for spares as backup,Quoting,Provide customer tag numbers and quote,7/15/2020,5/20/202: Alejandro Garcia customer contact
13,Corpus Christi,Darren Ripple,5/20/2020,AWC Internal,Customer Lunch and Learn,Formosa,End User,Existing Cust,"Point Comfort, Tx",Cooling Water ,ST,Clamp-On,"$50,000",75%,Past success with Clamp-on at Formosa,Working,Review quote with James on 5/19,7/15/2020,5/20/20: James Sparks
13,Corpus Christi,John Womack,5/19/2020,AWC Internal,Customer Lunch & Learn uncovered this opportunity,Oxy,End User,Existing Cust,"Ingleside, TX",Furnace Supervisory Valves,JV,Valve Installation and Turnkey Solution for BMS,"$500,000",50%,,Discovery (S.P.I.N.),Site walk down scheduled for Tuesday 6/2 to review layout.,11/15/2020,5/13/20: Working with ACE to provide a full turn key solution for Oxy's BMS including 150 Jamesbury Ball valves along with an integrated local control system. 5/18 - Walk down pushed to the first week of June due to new site specific safety requirments
